Recorded.Value..dBA.,Date,Time,location
63.3,2025-04-25,09:55:29.723,21st_littlefield_fountain
64.2,2025-04-25,09:55:29.933,21st_littlefield_fountain
63.6,2025-04-25,09:55:30.143,21st_littlefield_fountain
72.0,2025-04-25,09:55:30.352,21st_littlefield_fountain
64.3,2025-04-25,09:55:30.562,21st_littlefield_fountain
64.6,2025-04-25,09:55:30.772,21st_littlefield_fountain
66.2,2025-04-25,09:55:30.983,21st_littlefield_fountain
62.8,2025-04-25,09:55:31.192,21st_littlefield_fountain
64.3,2025-04-25,09:55:31.402,21st_littlefield_fountain
64.9,2025-04-25,09:55:31.613,21st_littlefield_fountain
67.0,2025-04-25,09:55:31.822,21st_littlefield_fountain
65.6,2025-04-25,09:55:32.032,21st_littlefield_fountain
66.0,2025-04-25,09:55:32.242,21st_littlefield_fountain
64.1,2025-04-25,09:55:32.453,21st_littlefield_fountain
64.6,2025-04-25,09:55:32.663,21st_littlefield_fountain
64.1,2025-04-25,09:55:32.873,21st_littlefield_fountain
65.0,2025-04-25,09:55:33.083,21st_littlefield_fountain
64.0,2025-04-25,09:55:33.292,21st_littlefield_fountain
64.1,2025-04-25,09:55:33.503,21st_littlefield_fountain
64.6,2025-04-25,09:55:33.712,21st_littlefield_fountain
64.0,2025-04-25,09:55:33.922,21st_littlefield_fountain
64.6,2025-04-25,09:55:34.132,21st_littlefield_fountain
65.3,2025-04-25,09:55:34.343,21st_littlefield_fountain
67.7,2025-04-25,09:55:34.553,21st_littlefield_fountain
66.6,2025-04-25,09:55:34.762,21st_littlefield_fountain
64.7,2025-04-25,09:55:34.972,21st_littlefield_fountain
64.4,2025-04-25,09:55:35.183,21st_littlefield_fountain
69.4,2025-04-25,09:55:35.392,21st_littlefield_fountain
79.5,2025-04-25,09:55:35.603,21st_littlefield_fountain
78.7,2025-04-25,09:55:35.812,21st_littlefield_fountain
77.3,2025-04-25,09:55:36.022,21st_littlefield_fountain
66.9,2025-04-25,09:55:36.232,21st_littlefield_fountain
65.8,2025-04-25,09:55:36.442,21st_littlefield_fountain
67.8,2025-04-25,09:55:36.652,21st_littlefield_fountain
67.8,2025-04-25,09:55:36.863,21st_littlefield_fountain
66.1,2025-04-25,09:55:37.073,21st_littlefield_fountain
65.3,2025-04-25,09:55:37.283,21st_littlefield_fountain
64.4,2025-04-25,09:55:37.493,21st_littlefield_fountain
65.9,2025-04-25,09:55:37.702,21st_littlefield_fountain
73.0,2025-04-25,09:55:37.912,21st_littlefield_fountain
65.4,2025-04-25,09:55:38.122,21st_littlefield_fountain
70.8,2025-04-25,09:55:38.332,21st_littlefield_fountain
73.7,2025-04-25,09:55:38.542,21st_littlefield_fountain
68.7,2025-04-25,09:55:38.752,21st_littlefield_fountain
71.4,2025-04-25,09:55:38.963,21st_littlefield_fountain
75.0,2025-04-25,09:55:39.172,21st_littlefield_fountain
70.4,2025-04-25,09:55:39.382,21st_littlefield_fountain
70.8,2025-04-25,09:55:39.592,21st_littlefield_fountain
71.9,2025-04-25,09:55:39.802,21st_littlefield_fountain
74.5,2025-04-25,09:55:40.012,21st_littlefield_fountain
77.0,2025-04-25,09:55:40.222,21st_littlefield_fountain
77.3,2025-04-25,09:55:40.432,21st_littlefield_fountain
78.8,2025-04-25,09:55:40.642,21st_littlefield_fountain
76.4,2025-04-25,09:55:40.852,21st_littlefield_fountain
77.6,2025-04-25,09:55:41.062,21st_littlefield_fountain
77.9,2025-04-25,09:55:41.272,21st_littlefield_fountain
77.2,2025-04-25,09:55:41.482,21st_littlefield_fountain
